Term,Format,Midterm,Final
W19,Campus,167,190
Sp18,Campus,167,194
Sp18,Online,167,204
W19,Campus,168,212
W19,Campus,168,225
W19,Campus,169,193
W19,Campus,169,215
W19,Campus,169,223
F18,Campus,169.5,173
F18,Campus,169.5,196
Sp18,Campus,170,131
W19,Online,170,177
Sp18,Online,170,180
W19,Campus,170,199
F18,Campus,170,216
F18,Campus,170.5,154
Sp18,Campus,171,164
Sp18,Online,171,192
W19,Campus,171,202
Sp18,Campus,171,204
W19,Campus,171,213
W19,Online,171,216
W19,Online,171.5,222
Sp18,Campus,172,168
F18,Online,172,195
F18,Campus,172,209
F18,Campus,172.5,194
W19,Campus,173,192
W19,Online,173,199
F18,Campus,173.5,172
F18,Campus,173.5,205
F18,Online,174,165
F18,Campus,174,169
W19,Campus,174,204
F18,Online,174,218
F18,Campus,174.5,183
F18,Campus,174.5,234
W19,Campus,175,167
F18,Online,175,172
W19,Campus,175,187
W19,Campus,175,206
F18,Online,175,214
F18,Campus,175.5,208
Sp18,Campus,176,137
F18,Online,176,140
W19,Online,176,162
F18,Campus,176,166
Sp18,Online,176,178
Sp18,Campus,176,211
Sp18,Campus,176,243
F18,Online,176.5,176
F18,Campus,176.5,196
F18,Campus,176.5,219
Sp18,Campus,177,148
Sp18,Campus,177,168
W19,Campus,177,174
Sp18,Campus,177,180
W19,Campus,177,185
Sp18,Campus,177,186
W19,Campus,177,190
W19,Campus,177,205
W19,Campus,177,217
F18,Campus,177,230
F18,Campus,177.5,166
F18,Campus,177.5,189
Sp18,Campus,178,146
Sp18,Campus,178,184
W19,Campus,178,191
F18,Campus,178,204
W19,Campus,178,214
F18,Campus,178,217
W19,Campus,178,221
F18,Campus,178,235
F18,Campus,178.5,218
Sp18,Online,179,132
W19,Online,179,139
F18,Campus,179,161
Sp18,Campus,179,183
W19,Campus,179,186
Sp18,Campus,179,197
F18,Campus,179,201
W19,Campus,179,238
F18,Campus,179,241
F18,Campus,179.5,198
W19,Campus,180,174
F18,Online,180,198
W19,Online,180,200
Sp18,Campus,180,206
W19,Campus,180,207
W19,Campus,180,226
W19,Online,180,228
W19,Campus,180,235
F18,Campus,180.5,187
Sp18,Online,181,147.5
Sp18,Online,181,174
Sp18,Campus,181,193
Sp18,Campus,181,197
Sp18,Campus,181,202
Sp18,Campus,181,202
W19,Online,181,205
Sp18,Campus,181,208
W19,Campus,181,243
Sp18,Online,182,181
Sp18,Campus,182,195
W19,Campus,182,199
W19,Campus,182,208
F18,Online,182.5,190
Sp18,Online,182.5,192
Sp18,Campus,183,132
Sp18,Campus,183,133
Sp18,Campus,183,174
Sp18,Campus,183,176
F18,Campus,183,195
Sp18,Campus,184,151
W19,Campus,184,179
W19,Campus,184,198
Sp18,Campus,184,214
Sp18,Campus,185,149
F18,Campus,185,150
Sp18,Campus,185,153
Sp18,Campus,185,182
F18,Online,185,184
Sp18,Campus,185,202
W19,Campus,185,208
F18,Campus,185,239
Sp18,Campus,186,171.5
F18,Campus,186,176
Sp18,Campus,186,189
Sp18,Campus,186,195
F18,Campus,186,198
W19,Campus,186,225
W19,Online,186.5,196
W19,Campus,186.5,210
F18,Online,186.5,213
Sp18,Campus,187,188
W19,Campus,187,195
W19,Campus,187,196
W19,Campus,187,198
W19,Campus,187,227
F18,Campus,187.5,198
F18,Online,188,131
Sp18,Campus,188,184
Sp18,Campus,188,189.5
F18,Online,188,201
W19,Campus,188,204
W19,Online,188,227
W19,Campus,189,184
W19,Campus,189,218
Sp18,Campus,189,220
Sp18,Online,190,147
W19,Online,190,168
Sp18,Campus,190,176
Sp18,Campus,190,189
W19,Campus,190,200
Sp18,Campus,190,237
Sp18,Campus,191,143
W19,Campus,191,180
Sp18,Online,191,202
Sp18,Campus,191,209
Sp18,Campus,191,210
F18,Online,191,213.5
F18,Campus,191,232
Sp18,Online,192,113
F18,Campus,192,165
F18,Online,192,165
Sp18,Online,192,169
Sp18,Online,192,170
W19,Campus,192,225
Sp18,Campus,193,78
Sp18,Campus,193,131
W19,Online,193,150
Sp18,Online,193,160
F18,Campus,193,189
F18,Campus,193,189
W19,Campus,193,191
F18,Campus,193,207
Sp18,Campus,193,217
Sp18,Campus,194,170
Sp18,Campus,194,173
Sp18,Campus,194,211
W19,Campus,194,219
W19,Campus,194,222
F18,Campus,194,223
F18,Campus,194,226
Sp18,Campus,194,242
F18,Campus,195,185
F18,Campus,195,195
Sp18,Campus,195,226
Sp18,Campus,195,231
F18,Campus,195,243
W19,Campus,196,168
W19,Online,196,190
Sp18,Online,196,205
W19,Campus,196,208
W19,Campus,196,213
Sp18,Campus,196,217
F18,Campus,196,232
F18,Campus,196.5,195
Sp18,Campus,197,178
W19,Campus,197,186
Sp18,Online,197,196
W19,Online,197,203
F18,Online,197,210
Sp18,Online,197,212
Sp18,Campus,197,225
F18,Campus,197,230
F18,Campus,197.5,147
W19,Campus,197.5,185
F18,Online,198,155
Sp18,Campus,198,172
Sp18,Campus,198,186
Sp18,Online,198,201
Sp18,Campus,198,211
Sp18,Campus,198,215
W19,Campus,198,224
Sp18,Campus,198,231
Sp18,Campus,199,170
Sp18,Campus,199,173
Sp18,Campus,199,202
Sp18,Campus,199,205
Sp18,Campus,199,208
F18,Campus,199,214
F18,Campus,199,242
F18,Campus,199.5,154
W19,Online,199.5,164
F18,Campus,199.5,168
Sp18,Campus,200,162
W19,Online,200,175
F18,Campus,200,194
Sp18,Campus,200,196
Sp18,Campus,200,202
W19,Campus,200,202
W19,Campus,200,203
Sp18,Campus,200,217
W19,Campus,200,226
W19,Campus,200,227
Sp18,Campus,201,183
F18,Campus,201,189
Sp18,Campus,201,203
F18,Campus,201,214
F18,Online,201,214
F18,Campus,201,217
Sp18,Campus,201,231
F18,Campus,201,233
F18,Campus,201.5,167
Sp18,Online,202,172
F18,Campus,202,189
Sp18,Campus,202,199
F18,Online,202,199
Sp18,Campus,202,201
Sp18,Online,202,202
F18,Campus,202,211
Sp18,Online,203,154
Sp18,Campus,203,158
F18,Online,203,160
Sp18,Online,203,161
Sp18,Campus,203,186
Sp18,Online,203,196
Sp18,Campus,203,206.5
Sp18,Online,203,224
Sp18,Campus,203.5,170
F18,Campus,203.5,187
W19,Online,204,145
F18,Campus,204,162
Sp18,Campus,204,182
F18,Campus,204,201
Sp18,Online,204,212
Sp18,Online,204,223
W19,Online,204,234
F18,Campus,204,236
F18,Campus,204.5,235
Sp18,Campus,205,156
F18,Campus,205,174
Sp18,Campus,205,185
F18,Online,205,188
Sp18,Online,205,193
Sp18,Online,205,193
F18,Campus,205,196
F18,Online,205,202
Sp18,Campus,205,210
F18,Campus,205,220
W19,Campus,205,227
Sp18,Campus,205,250
W19,Online,205.5,184
W19,Online,205.5,199
Sp18,Campus,206,122
Sp18,Online,206,187
Sp18,Campus,206,189
F18,Online,206,221
W19,Campus,206,221
W19,Online,206,221
F18,Campus,206,230
W19,Online,206.5,169
F18,Campus,206.5,208
Sp18,Campus,206.5,211
F18,Campus,206.5,213
F18,Online,207,185
W19,Campus,207,189
Sp18,Campus,207,196
Sp18,Campus,207,196
Sp18,Campus,207,202
W19,Online,207,204
Sp18,Campus,207,215
F18,Campus,207,219
Sp18,Campus,207,224
W19,Campus,207,228
F18,Online,207,236
F18,Campus,207,244
Sp18,Campus,208,108
W19,Online,208,161
Sp18,Campus,208,188
F18,Online,208,196
Sp18,Campus,208,197
W19,Online,208,214
Sp18,Campus,208,216
Sp18,Campus,208.5,243
Sp18,Campus,209,182
Sp18,Campus,209,188
Sp18,Campus,209,188
Sp18,Campus,209,202
F18,Campus,209,202
Sp18,Campus,209,207
W19,Online,209,215
F18,Campus,209,219
Sp18,Campus,209,226
Sp18,Campus,209.5,197
F18,Campus,209.5,213
F18,Campus,209.5,232
Sp18,Campus,210,155
Sp18,Online,210,160
Sp18,Campus,210,187.5
Sp18,Campus,210,194
F18,Campus,210,194
Sp18,Online,210,196
Sp18,Campus,210,208
Sp18,Campus,210,213
Sp18,Campus,210,220
Sp18,Campus,210,221
W19,Campus,210,223
Sp18,Campus,210,229
Sp18,Campus,210,237
W19,Online,210.5,200
Sp18,Campus,210.5,206
Sp18,Campus,210.5,238
Sp18,Campus,211,159
F18,Campus,211,180
Sp18,Campus,211,189
Sp18,Campus,211,225
Sp18,Campus,212,192
F18,Campus,212,199
F18,Campus,212,201
F18,Online,212,202
F18,Campus,212,203
Sp18,Campus,212,204
Sp18,Campus,212,216
Sp18,Campus,212,231
F18,Campus,212,232
Sp18,Campus,212,233
W19,Campus,212,234
Sp18,Online,212,238
Sp18,Campus,213,190
Sp18,Online,213,195
Sp18,Online,213,201
Sp18,Online,213,207
W19,Campus,213,211
W19,Campus,213,213
F18,Campus,213,234
Sp18,Online,214,208
F18,Campus,214,208
F18,Campus,214,215
Sp18,Campus,214,220
W19,Campus,214,229
W19,Campus,214,236
Sp18,Campus,214,238
F18,Campus,214.5,170
Sp18,Campus,214.5,182
Sp18,Campus,215,190
Sp18,Campus,215,231
F18,Campus,215.5,176
F18,Campus,215.5,179
F18,Campus,215.5,185
Sp18,Campus,216,164
F18,Campus,216,201
Sp18,Campus,216,207
Sp18,Campus,216,219
F18,Campus,216,231
Sp18,Campus,217,177
F18,Campus,217,184
F18,Online,217,184
Sp18,Campus,217,187
W19,Campus,217,194
F18,Campus,217,195
Sp18,Campus,217,197
Sp18,Campus,217,200
Sp18,Campus,217,206
Sp18,Campus,217,206
Sp18,Campus,217,211
F18,Campus,217,223
Sp18,Campus,217,224
W19,Campus,217,228
F18,Online,217.5,166
F18,Campus,217.5,203
Sp18,Campus,218,156
Sp18,Campus,218,190
Sp18,Campus,218,195
Sp18,Online,218,198
Sp18,Campus,218,201
Sp18,Campus,218,202
F18,Campus,218,212
Sp18,Campus,218,216
F18,Campus,218,217
W19,Campus,218,223
W19,Campus,218,225
Sp18,Campus,218,235
Sp18,Campus,218,238
F18,Online,218,238
F18,Campus,218,243
Sp18,Campus,218.5,237
Sp18,Campus,219,203
Sp18,Campus,219,207
F18,Campus,219,209
Sp18,Campus,219,220
Sp18,Campus,219,225
Sp18,Campus,219,232
W19,Campus,219,232
W19,Online,219,232
F18,Campus,220,166
Sp18,Online,220,226
Sp18,Campus,220,229
Sp18,Campus,220,231
F18,Online,220,238
W19,Campus,220,241
F18,Campus,220.5,224
Sp18,Campus,221,190
Sp18,Campus,221,201
Sp18,Campus,221,209
W19,Campus,221,219
Sp18,Campus,221,232
Sp18,Online,221,235
W19,Online,221.5,216
Sp18,Campus,222,194
Sp18,Campus,222,206
Sp18,Campus,222,214
Sp18,Campus,222,217
F18,Campus,222,221
F18,Campus,222,223
W19,Campus,222,223
F18,Campus,222,232
Sp18,Campus,222,235
W19,Online,223,210
F18,Online,223,213
Sp18,Campus,223,227
W19,Online,223,241
Sp18,Campus,223.5,201
Sp18,Campus,224,179
W19,Online,224,185
Sp18,Campus,224,190
Sp18,Campus,224,200.5
W19,Online,224,214
F18,Online,224,216
Sp18,Campus,224,228
F18,Campus,224,232
F18,Campus,224,238
F18,Campus,224.5,191
F18,Campus,224.5,232
F18,Campus,225,205
F18,Campus,225,206
Sp18,Campus,225,210
Sp18,Online,225,223
Sp18,Campus,225,225
Sp18,Campus,225,225
Sp18,Campus,225,234
F18,Campus,225,236
Sp18,Campus,225,238
Sp18,Campus,225.5,236
Sp18,Campus,226,195
Sp18,Campus,226,207
Sp18,Campus,226,207
Sp18,Campus,226,210
Sp18,Campus,226,226
Sp18,Campus,226,226
F18,Campus,226,227
Sp18,Campus,226,228
Sp18,Campus,226,232
F18,Campus,226,239
Sp18,Campus,227,172
Sp18,Campus,227,172
W19,Online,227,187
F18,Campus,227,193
F18,Campus,227,204
Sp18,Campus,227,205
Sp18,Campus,227,205
Sp18,Campus,227,205
F18,Campus,227,208
Sp18,Campus,227,218
Sp18,Campus,227,222
Sp18,Campus,227,234
Sp18,Campus,227,238
W19,Campus,227,238
Sp18,Campus,228,205
Sp18,Campus,228,207
Sp18,Campus,228,208
Sp18,Online,228,214
Sp18,Campus,228,222
F18,Campus,228,228
Sp18,Campus,228,230
Sp18,Campus,228,238
Sp18,Campus,228,242
Sp18,Campus,228,250
F18,Campus,228.5,219
W19,Campus,228.5,238
F18,Campus,228.5,250
Sp18,Campus,229,181
Sp18,Campus,229,190
Sp18,Online,229,202
Sp18,Campus,229,215
Sp18,Campus,229,218
F18,Campus,229,220
F18,Campus,229,224
Sp18,Campus,229,231
Sp18,Campus,229,231
Sp18,Campus,229,232
Sp18,Campus,229,233
Sp18,Campus,229,244
Sp18,Campus,229,244
Sp18,Campus,230,192
W19,Online,230,208
F18,Campus,230,209
Sp18,Campus,230,218
Sp18,Online,230,226
Sp18,Campus,230,231
F18,Campus,230,234
Sp18,Campus,230,237
F18,Campus,231,197
F18,Campus,231,215
W19,Online,231,218
F18,Campus,231,219
Sp18,Online,231,223
Sp18,Campus,231,225
Sp18,Campus,231,226
Sp18,Campus,231,226
Sp18,Campus,231,232
Sp18,Campus,231,237
Sp18,Campus,231,244
Sp18,Campus,232,224
F18,Online,232,226
F18,Campus,232,238
F18,Online,232,250
F18,Campus,232.5,236
Sp18,Campus,233,181
Sp18,Campus,233,200
Sp18,Campus,233,201
Sp18,Campus,233,202
W19,Online,233,220
Sp18,Campus,233,225
Sp18,Campus,233,231
Sp18,Campus,233,234
F18,Campus,233,242
Sp18,Campus,233.5,211
Sp18,Campus,234,196
F18,Campus,234,197
Sp18,Campus,234,204
Sp18,Campus,234,213
Sp18,Campus,234,221
F18,Online,234,223
F18,Campus,234.5,236
Sp18,Campus,235,186
Sp18,Online,235,214
Sp18,Campus,235,219
Sp18,Campus,235,230
Sp18,Campus,235,232
F18,Campus,235,234
Sp18,Campus,235,238
Sp18,Campus,235,238
Sp18,Campus,235,243
Sp18,Campus,235,250
Sp18,Campus,236,207
Sp18,Campus,236,209
Sp18,Online,236,214
Sp18,Campus,236,219
Sp18,Campus,236,220
Sp18,Campus,236,220
Sp18,Campus,236,231
W19,Online,236,232
Sp18,Online,236,237
F18,Campus,236,238
Sp18,Campus,236,244
Sp18,Online,237,202
Sp18,Campus,237,218
Sp18,Campus,237,239
W19,Online,237,242
Sp18,Campus,237,250
Sp18,Campus,237,250
Sp18,Online,238,220
Sp18,Campus,238,227
F18,Campus,238,238
Sp18,Campus,238,250
F18,Campus,238.5,192
F18,Campus,238.5,231
F18,Campus,239,183
F18,Online,239,208
Sp18,Campus,239,219
F18,Campus,239,237
Sp18,Campus,240,210
W19,Campus,240,231
Sp18,Campus,240,233
W19,Online,240,236
Sp18,Campus,241,213
F18,Campus,241,213
W19,Campus,241,231
W19,Online,241,238
W19,Online,241,240
Sp18,Campus,242,198
Sp18,Campus,242,202
F18,Online,242,244
Sp18,Campus,243,220
Sp18,Campus,243,220
Sp18,Campus,243,223
Sp18,Campus,243,232
Sp18,Campus,243,238
Sp18,Campus,243,244
Sp18,Campus,243.5,210
Sp18,Online,244,169
W19,Online,244,202
F18,Online,244,207
Sp18,Campus,244,222
Sp18,Campus,244,230
F18,Campus,244,231
Sp18,Campus,244,232
Sp18,Campus,244,232
F18,Campus,244,238
Sp18,Online,244,241
Sp18,Campus,244,244
Sp18,Campus,245,186
Sp18,Campus,245,224
W19,Online,245,238
Sp18,Campus,246,203
Sp18,Campus,246,209
Sp18,Online,246,240
W19,Campus,247,235
Sp18,Campus,247,236
F18,Online,247,242
Sp18,Campus,248,232
F18,Campus,249,217
Sp18,Campus,249,224
Sp18,Campus,249,249
F18,Campus,249.5,238
Sp18,Campus,250,215
Sp18,Campus,250,227
Sp18,Campus,250,231
F18,Campus,250,231
W19,Online,250,232
F18,Campus,250,238
Sp18,Campus,250,250
W19,Online,250,250
Sp18,Campus,251,220
Sp18,Campus,251,231
Sp18,Campus,252,232
F18,Campus,252,237
Sp18,Campus,252,240
Sp18,Campus,252,244
Sp18,Campus,252,250
Sp18,Campus,253,226
Sp18,Campus,253,250
W19,Campus,253,250
Sp18,Campus,255,244
F18,Campus,255,244
F18,Campus,255,250
W19,Online,256,242
W19,Online,258,250
